序号,开放渠道,品牌,一级类目,二级类目,三级类目,货品ID,货品名称,货品规格,货品条码,货品箱规,货品毛重,单价 (元),销售单位,图片链接,价格/活动备注,状态
1,"天猫,京东",交悦,个人护理,女性用品,个护,WSBTD,蜗赛益生菌漱口水（元气白桃）袋装,15ml,0,,,5.5,瓶,http://ug.link/dx4600-851d-db43/filemgr/share-download/?id=702b7eb3f622458faf7389ffc992bdaf,,上架
2,"天猫,京东",交悦,个人护理,男性护理,个护,WSBT,蜗赛益生菌漱口水（元气白桃）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01A3b59s1NskvwQxn19_!!2214871941626-0-cib.jpg,,下架
3,全网,IFLOVE,个人护理,保健品,个护,WSXYD,蜗赛益生菌漱口水（阳光西柚 ）袋装,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01coc3qr1NskxKaxVhF_!!2214871941626-0-cib.jpg,,预售
4,私域,IFLOVE,个人护理,护理用品,个护,WSXY,蜗赛益生菌漱口水（阳光西柚 ）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01eYpo2w1NskvuCRjsz_!!2214871941626-0-cib.jpg,,
5,拼多多,JIAOYUE,数码相机,女性用品,个护,WSBHD,蜗赛益生菌漱口水（沁爽薄荷 ）袋装,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01W9hCtv1NskxKb0X5w_!!2214871941626-0-cib.jpg,,
6,拼多多,JIAOYUE,个人护理,女性用品,个护,WSBH,蜗赛益生菌漱口水（沁爽薄荷 ）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01JP9oMp1NskvryxTAK_!!2214871941626-0-cib.jpg,,
7,"天猫,京东",BED GAME,个人护理,女性用品,个护,WSBXGD,蜗赛益生菌漱口水（活力果王）袋装,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01KiGhen1NskxFvJlYD_!!2214871941626-0-cib.jpg,,
8,美团,BED GAME,个人护理,女性用品,个护,WSBXG,蜗赛益生菌漱口水（活力果王）,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ZroQWA1Nskvtj6GJ6_!!2214871941626-0-cib.jpg,,
9,私域,蜗赛,个人护理,女性用品,个护,WSCMBZ,蜗赛益生菌口香爆珠（草莓味）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01EyNXdD219wvINHg6R_!!2208929496943-0-cib.jpg,,
10,"天猫,京东",蜗赛,个人护理,女性用品,个护,WSBTBZ,蜗赛益生菌口香爆珠（白桃味）,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01f4FeOE219wvMeuDHR_!!2208929496943-0-cib.jpg,,
11,"天猫,京东",泰潮,个人护理,女性用品,个护,WSKPBT,蜗赛益生菌口腔喷雾（元气白桃）,15ml,6.97751E+12,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Zkualx219wvOlwZaM_!!2208929496943-0-cib.jpg,,
12,全网,泰潮,个人护理,女性用品,个护,WSKPQT,蜗赛益生菌口腔喷雾（阳光青提）,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01dCscrv219wvQ5STK2_!!2208929496943-0-cib.jpg,,
13,私域,泰潮,个人护理,女性用品,个护,WSKPBH,蜗赛益生菌口腔喷雾（沁爽薄荷）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01OfUgvl219wvPEVIR4_!!2208929496943-0-cib.jpg,,
14,拼多多,冰火之恋,个人护理,女性用品,个护,SKS24,哇咔咔漱口水24粒装,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01TzqUkW1NskqjgHWgL_!!2214871941626-0-cib.jpg,,
15,拼多多,冰火之恋,个人护理,女性用品,润滑,TCRHYYT,泰潮润滑液（樱桃）,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01RednkX219wvOOeybJ_!!2208929496943-0-cib.jpg,,
16,"天猫,京东",交悦,个人护理,女性用品,润滑,TCRHYYZ,泰潮润滑液（椰子）,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN0113m4I4219wvPCdiD2_!!2208929496943-0-cib.jpg,,
17,美团,交悦,个人护理,女性用品,私密,TCJY,泰潮椰风SPA精油,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01FbjMsk219wvQ6VBeV_!!2208929496943-0-cib.jpg,,
18,私域,交悦,个人护理,女性用品,私密,TCMS,泰潮无患子洁净护理慕斯,15ml,0,,,4.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01kkDlRg219wvQ30oPh_!!2208929496943-0-cib.jpg,,
19,线下门店,交悦,个人护理,女性用品,私密,TCLHNJ,泰潮芦荟私护凝胶,15ml,0,,,5.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN0110xdHB219wvINVmAX_!!2208929496943-0-cib.jpg,,
20,线下门店,交悦,个人护理,女性用品,避尔爽,BES5,避尔爽5支盒装,15ml,6.97528E+12,,,18,瓶,https://cbu01.alicdn.com/img/ibank/O1CN019xhTzI1NskwhBAJHy_!!2214871941626-0-cib.jpg,,
21,线下门店,交悦,个人护理,女性用品,处子秀,PPJ30,啪啪紧,16ml,6.97284E+12,,,28,瓶,https://cbu01.alicdn.com/img/ibank/O1CN010ERviV1NskriTZnNp_!!2214871941626-0-cib.jpg,,
22,线下门店,交悦,个人护理,女性用品,处子秀,JRW,交悦一指紧润丸10粒装,17ml,6.97528E+11,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01126uL01NskqYZjnOl_!!2214871941626-0-cib.jpg,,
23,线下门店,交悦,个人护理,女性用品,处子秀,HCZX,处子秀3支装（红色包装）,18ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Y1OA8z1NskrehLfZK_!!2214871941626-0-cib.jpg,,
24,线下门店,交悦,个人护理,女性用品,高潮,ZC3L,涨潮水3代-礼盒装,19ml,6.97284E+12,,,65,瓶,http://cbu01.alicdn.com/img/ibank/O1CN01cXEcJm1Bs323vI3ln_!!0-0-cib.jpg,,
25,线下门店,交悦,个人护理,女性用品,高潮,ZC2,涨潮水（二代）,20ml,6.97284E+12,,,50,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01X80E5W1NsknArSKu7_!!2214871941626-0-cib.jpg,,
26,线下门店,交悦,个人护理,女性用品,高潮,RZC,涨潮水（2粒）,21ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ZfAg561NskriyOPq2_!!2214871941626-0-cib.jpg,,
27,线下门店,交悦,个人护理,女性用品,高潮,ZC16,涨潮水（16粒）,22ml,6.97528E+12,,,20,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01XB9tP11NskrjdrOg4_!!2214871941626-0-cib.jpg,,
28,线下门店,交悦,个人护理,女性用品,高潮,YPC,一喷潮10ml,23ml,6.97284E+12,,,30,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01NOwGFa1MA2kMNTQY7_!!2209920461393-0-cib.jpg,,
29,线下门店,交悦,个人护理,女性用品,高潮,SNYZC,圣女椰涨潮水15毫升,24ml,6.97528E+12,,,50,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01DSVMfv1Nskqe1DruR_!!2214871941626-0-cib.jpg,,
30,线下门店,交悦,个人护理,女性用品,高潮,ZC3D,三代涨潮水单品,25ml,6.97284E+12,,,60,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01RrqoX71NskrnOuHKC_!!2214871941626-0-cib.jpg,,
31,线下门店,交悦,个人护理,女性用品,高潮,LSZC3,三代张潮水浪里传奇（零售专供）,26ml,6.97274E+12,,,60,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01cBtdhE1NskqUVZreT_!!2214871941626-0-cib.jpg,,
32,线下门店,交悦,个人护理,女性用品,高潮,YSW,女性快感增强液-引水王,27ml,6.97528E+12,,,38,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01327Ate1NskqOYyFeA_!!2214871941626-0-cib.jpg,,
33,线下门店,交悦,个人护理,女性用品,高潮,XJW,女性快感增强液-吸夹王,28ml,6.97528E+12,,,38,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01FMHhU61NskqbqSKKi_!!2214871941626-0-cib.jpg,,
34,线下门店,交悦,个人护理,女性用品,高潮,LYJSY,烈欲交爽液 15ml,29ml,6.97528E+12,,,38,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01O4tmck1Nskqb7RSzC_!!2214871941626-0-cib.jpg,,
35,线下门店,交悦,个人护理,女性用品,高潮,KGR,快感增强喷剂10毫升-红色拼多多款,30ml,6.97528E+12,,,25,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01EyoclZ219wroJTtml_!!2208929496943-0-cib.jpg,,
36,线下门店,交悦,个人护理,女性用品,高潮,ZC12P,交悦涨潮水护理液-12片便携装,31ml,6.97284E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ssYI8y1NskrjdssDk_!!2214871941626-0-cib.jpg,,
37,线下门店,交悦,个人护理,女性用品,高潮,ZCHJ,交悦涨潮水黑金版4支装,32ml,6.97528E+12,,,20,瓶,https://cbu01.alicdn.com/img/ibank/O1CN019wuKnM1Nsl0j1YEY9_!!2214871941626-0-cib.jpg,,
38,线下门店,交悦,个人护理,女性用品,高潮,ZCPRO,交悦涨潮水2代PRO+(15ML),33ml,6.97528E+12,,,35,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01DTPby3219wrDyqY7G_!!2208929496943-0-cib.jpg,,
39,线下门店,交悦,个人护理,女性用品,高潮,ZCPJ,交悦涨潮喷剂10ml,34ml,6.97528E+12,,,25,瓶,http://cbu01.alicdn.com/img/ibank/O1CN012Cbu5D1Bs30Zvj44A_!!0-0-cib.jpg,,
40,线下门店,交悦,个人护理,女性用品,高潮,YDY-1,交悦悦蒂油单片装,35ml,6.97528E+12,,,1.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN018th4tW21nnNkQqRQn_!!2219431127030-0-cib.jpg,,
41,线下门店,交悦,个人护理,女性用品,高潮,YDYK1,交悦悦蒂油单片（含卡包）,36ml,6.97528E+12,,,1.8,瓶,https://cbu01.alicdn.com/img/ibank/O1CN015Zy0Uq219wpX06bBZ_!!2208929496943-0-cib.jpg,,
42,线下门店,交悦,个人护理,女性用品,高潮,YDY,交悦悦蒂油15ml,37ml,6.97528E+12,,,33,瓶,https://cbu01.alicdn.com/img/ibank/O1CN018yhlT9219wqQTxcdl_!!2208929496943-0-cib.jpg,,
43,线下门店,交悦,个人护理,女性用品,高潮,YXA6,交悦烟酰胺快感促潮液1.5ML*6支,38ml,6.97528E+12,,,14,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01deD5FF1Nskrbp3Ets_!!2214871941626-0-cib.jpg,,
44,线下门店,交悦,个人护理,女性用品,高潮,SMG,交悦酥麻膏10g,39ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN017sF67p1NskxGz1DTW_!!2214871941626-0-cib.jpg,,
45,线下门店,交悦,个人护理,女性用品,高潮,ZCXJ3,交悦三代蠕动吸夹型1.5ml,40ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01oea6Nf1NskrjdkssC_!!2214871941626-0-cib.jpg,,
46,线下门店,交悦,个人护理,女性用品,高潮,CPYK,交悦女性潮喷液增强液升级版（含卡包）,41ml,6.97528E+12,,,0.7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN017trPmg1NskvuK0UsH_!!2214871941626-0-cib.jpg,,
47,线下门店,交悦,个人护理,女性用品,高潮,CPY,交悦女性潮喷液增强液升级版,42ml,6.97528E+12,,,0.4,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01riWm3T1Nskw4UHNgQ_!!2214871941626-0-cib.jpg,,
48,线下门店,交悦,个人护理,女性用品,高潮,ZQY30,交悦快感增强液30ml拼多多专供款),43ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN0175a5OD219wqUR48rM_!!2208929496943-0-cib.jpg,,
49,线下门店,交悦,个人护理,女性用品,高潮,KGH,交悦快感增强喷剂10ml-黄色,44ml,6.97528E+12,,,25,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01MxzRWB219wqU46br5_!!2208929496943-0-cib.jpg,,
50,线下门店,交悦,个人护理,女性用品,高潮,YPJ6,交悦-快感控时喷剂6ml,45ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01d5IIdl219wllq4yCE_!!2208929496943-0-cib.jpg,,
51,线下门店,交悦,个人护理,女性用品,高潮,JCTZ,交悦紧潮套装（涨潮丸*2粒、紧润丸*2粒）,46ml,6.97528E+12,,,8,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Jv0FfH219wqbBfj1s_!!2208929496943-0-cib.jpg,,
52,线下门店,交悦,个人护理,女性用品,高潮,ZCW,交悦蛋蛋涨潮丸10粒装,47ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01l0pUaR1Nsl0s8xpAC_!!2214871941626-0-cib.jpg,,
53,线下门店,交悦,个人护理,女性用品,高潮套装,ZCHL,活力套装,48ml,6.97528E+12,,,18,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01kNcNwH1NskrgwJruW_!!2214871941626-0-cib.jpg,,
54,线下门店,交悦,个人护理,女性用品,高潮,HGY,潮喷液-红色,49ml,6.97284E+12,,,0.35,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01T65sw01NskrhjFHYF_!!2214871941626-0-cib.jpg,,
55,线下门店,交悦,个人护理,女性用品,高潮,TZC3,3支装涨潮水（经典版）,50ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01OMPHjm1NskraPPtfH_!!2214871941626-0-cib.jpg,,
56,线下门店,交悦,个人护理,女性用品,高潮,FZC,3支装涨潮水（粉色包装）,51ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01T71tGe1Nskrne28E0_!!2214871941626-0-cib.jpg,,
57,线下门店,交悦,个人护理,女性用品,高潮套装,JP4,4支装井喷液（欢愉套装）,52ml,6.97284E+12,,,17,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01tmGIar1Nskrp61oPV_!!2214871941626-0-cib.jpg,,
58,线下门店,交悦,个人护理,女性用品,高潮套装,JP3,3支装井喷液（激情套装）,53ml,6.97284E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01LI3IuZ1NskrjA6nVb_!!2214871941626-0-cib.jpg,,
59,线下门店,交悦,个人护理,女性用品,个护,QWY,艾草蓝桉驱蚊水-50ml,54ml,6.97528E+12,,,3,瓶,https://cbu01.alicdn.com/img/ibank/O1CN014858Rm1NskxdGCqAG_!!2214871941626-0-cib.jpg,,
60,线下门店,交悦,个人护理,女性用品,计生,ZCT6,涨潮套6只装,55ml,6.97528E+12,,,9.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN012XAG8j219wvOSQXFu_!!2208929496943-0-cib.jpg,,
61,线下门店,交悦,个人护理,女性用品,计生,ZCT2,交悦-涨潮套2只装,56ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01AUtyEW219wkaKb8eS_!!2208929496943-0-cib.jpg,,
62,线下门店,交悦,个人护理,女性用品,计生,ZCT10,交悦-涨潮套10只装,57ml,6.97284E+12,,,25,瓶,https://cbu01.alicdn.com/img/ibank/O1CN016EDPTv1NskrXfqOMW_!!2214871941626-0-cib.jpg,,
63,线下门店,交悦,个人护理,女性用品,计生,ZCTJX,交悦酱香味涨潮套,58ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Tcr2Vs219wqCHrDDE_!!2208929496943-0-cib.jpg,,
64,线下门店,交悦,个人护理,女性用品,计生,CJT,交悦黑金持久避孕套10只装,59ml,6.97528E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01WhJsqB219wvTEUFRU_!!2208929496943-0-cib.jpg,,
65,线下门店,交悦,个人护理,女性用品,计生,DKLT,交悦大颗粒涨潮套8只装,60ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Lhu9GU219wvR37eWZ_!!2208929496943-0-cib.jpg,,
66,线下门店,交悦,个人护理,女性用品,计生,BNS001,交悦001玻尿酸避孕套10支装,61ml,6.97528E+12,,,2.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN016RwAYF1NskvXHV4aP_!!2214871941626-0-cib.jpg,,
67,线下门店,交悦,个人护理,女性用品,口爱,KTC,体验版草莓口交水,62ml,6.97528E+12,,,0.45,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01vWzbYq1NskrYq8xS2_!!2214871941626-0-cib.jpg,,
68,线下门店,交悦,个人护理,女性用品,口爱,KTB,体验版薄荷口交水,63ml,6.97528E+12,,,0.45,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01XauE9G1NskrcvzQZF_!!2214871941626-0-cib.jpg,,
69,线下门店,交悦,个人护理,女性用品,口爱,TC-1,糖草莓味（个）,64ml,6.97284E+12,,,0.14,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01rVufbf1NskrTGPPer_!!2214871941626-0-cib.jpg,,
70,线下门店,交悦,个人护理,女性用品,口爱,TB-1,糖薄荷味（个）,65ml,6.97284E+12,,,0.14,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01kd8vQz1NskrgYjWC5_!!2214871941626-0-cib.jpg,,
71,线下门店,交悦,个人护理,女性用品,口爱,KRX,日文版香橙口交水,66ml,6.97284E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01KTHSQh1NskrYq64Lv_!!2214871941626-0-cib.jpg,,
72,线下门店,交悦,个人护理,女性用品,口爱,KRT,日文版蜜桃口交水,67ml,6.97284E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Uiwig41NskrYq5rxT_!!2214871941626-0-cib.jpg,,
73,线下门店,交悦,个人护理,女性用品,口爱,KRC,日文版草莓口交水,68ml,6.97284E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01lqTQ3p1NskrgFvKIP_!!2214871941626-0-cib.jpg,,
74,线下门店,交悦,个人护理,女性用品,口爱,KX,瓶装香橙口交水,69ml,6.97284E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01MBicg71NskreiNuxY_!!2214871941626-0-cib.jpg,,
75,线下门店,交悦,个人护理,女性用品,口爱,KT,瓶装蜜桃口交水,70ml,6.97284E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01hkEIYl1NskrZUOHDE_!!2214871941626-0-cib.jpg,,
76,线下门店,交悦,个人护理,女性用品,口爱,KC,瓶装草莓口交水,71ml,6.97284E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN013LxeXL1NskrggJWrU_!!2214871941626-0-cib.jpg,,
77,线下门店,交悦,个人护理,女性用品,口爱,XCBZ,交悦益生菌口香爆珠（香橙味）,72ml,6.97751E+12,,,3.3,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ubPWR61NskyTC0e4S_!!2214871941626-0-cib.jpg,,
78,线下门店,交悦,个人护理,女性用品,口爱,CMBZ,交悦益生菌口香爆珠（草莓味）,73ml,6.97751E+12,,,3.3,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01DA5nR91NskyVgMT8B_!!2214871941626-0-cib.jpg,,
79,线下门店,交悦,个人护理,女性用品,口爱,KWH,交悦乌梅味口娇水10支装,74ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01uFqsgt1Nskru6c6oF_!!2214871941626-0-cib.jpg,,
80,线下门店,交悦,个人护理,女性用品,口爱,KLH,交悦朗姆味口娇水10支装,75ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01h6RMNJ1Nskru6wWGi_!!2214871941626-0-cib.jpg,,
81,线下门店,交悦,个人护理,女性用品,口爱,JBSR,交悦冰爽乳10g,76ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01JyUt931NskuWSZTJ1_!!2214871941626-0-cib.jpg,,
82,线下门店,交悦,个人护理,女性用品,口爱,KGC,交悦冰火口交水草莓味10只装-罐装,77ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01R06dKW219wh6pBbGW_!!2208929496943-0-cib.jpg,,
83,线下门店,交悦,个人护理,女性用品,口爱,KGB,交悦冰火口交水百香果味10只装-罐装,78ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01oh5IOH219whF7cmKK_!!2208929496943-0-cib.jpg,,
84,线下门店,交悦,个人护理,女性用品,口爱,TXH,盒装香橙爆炸口交糖,79ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01AMpLRP1NskrZnR2U0_!!2214871941626-0-cib.jpg,,
85,线下门店,交悦,个人护理,女性用品,口爱,TTH,盒装蜜桃爆炸口交糖,80ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01f2F7j31NskreMCjSE_!!2214871941626-0-cib.jpg,,
86,线下门店,交悦,个人护理,女性用品,口爱,TCH,盒装草莓爆炸口交糖,81ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01WhBbmm1NskreM9B06_!!2214871941626-0-cib.jpg,,
87,线下门店,交悦,个人护理,女性用品,口爱,TC,纯口味草莓口交糖,82ml,6.97284E+12,,,14,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01E8CYVC219wsRQ1cqi_!!2208929496943-0-cib.jpg,,
88,线下门店,交悦,个人护理,女性用品,口爱,TB,纯口味薄荷口交糖,83ml,6.97284E+12,,,14,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01d6mLrv219wsbozo3L_!!2208929496943-0-cib.jpg,,
89,线下门店,交悦,个人护理,女性用品,口爱,TCN30,出乳霜(通货版),84ml,6.97284E+12,,,28,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ldsNpJ1NskrTGHxeb_!!2214871941626-0-cib.jpg,,
90,线下门店,交悦,个人护理,女性用品,口爱,KXH,8支盒装香橙口交水,85ml,6.97843E+11,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01OgyJ9u1NskrZBRQGj_!!2214871941626-0-cib.jpg,,
