序号,开放渠道,品牌,一级类目,二级类目,三级类目,货品ID,货品名称,货品规格,货品条码,货品箱规,货品毛重,单价 (元),销售单位,图片链接,价格/活动备注,状态
91,线下门店,交悦,个人护理,女性用品,口爱,KTH,8支盒装蜜桃口交水,86ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01gvDyA41NskrbsUinW_!!2214871941626-0-cib.jpg,,
92,线下门店,交悦,个人护理,女性用品,口爱,KCH,8支盒装草莓口交水,87ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01KVkfCP1NskrYqDFeL_!!2214871941626-0-cib.jpg,,
93,线下门店,交悦,个人护理,女性用品,口爱,KH12,12支混合装盒装口交水,88ml,6.97284E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01sttx9r1NskrfBpAkj_!!2214871941626-0-cib.jpg,,
94,线下门店,交悦,个人护理,女性用品,男用,SJ6,延时湿巾6只装（单盒）,89ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01N0PocQ219wexpHvYD_!!2208929496943-0-cib.jpg,,
95,线下门店,交悦,个人护理,女性用品,男用,YSB,延时喷剂（至臻版）,90ml,6.97284E+12,,,40,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01EDmi8D219wZd6bkpz_!!2208929496943-0-cib.jpg,,
96,线下门店,交悦,个人护理,女性用品,男用,SJ-1,湿巾一片装带卡包,91ml,6.97528E+12,,,0.8,瓶,https://cbu01.alicdn.com/img/ibank/O1CN018gjy0A219wffYuflG_!!2208929496943-0-cib.jpg,,
97,线下门店,交悦,个人护理,女性用品,男用,NJCSJ,女见愁延时湿巾盒装6片,92ml,6.97528E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01tF4eu41NskqsQBEvZ_!!2214871941626-0-cib.jpg,,
98,线下门店,交悦,个人护理,女性用品,男用,NJCH5,女见愁外用延时喷剂红色-5ml,93ml,6.97528E+12,,,12,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01YfTVAS1NskqluLhhJ_!!2214871941626-0-cib.jpg,,
99,线下门店,交悦,个人护理,女性用品,男用,NJC,女见愁外用延时喷剂-10ml,94ml,6.97278E+11,,,25,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01RoIhPh1Nskqf9MMs5_!!2214871941626-0-cib.jpg,,
100,线下门店,交悦,个人护理,女性用品,男用,YSJ,交悦延时喷剂-金色款5ml,95ml,6.97284E+12,,,9,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01RARM83219wfk2hGFc_!!2208929496943-0-cib.jpg,,
101,线下门店,交悦,个人护理,女性用品,男用,YSH500,交悦延时喷剂黑色500毫克,96ml,6.97528E+12,,,3,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01tbIsZn1NskvQQw3R0_!!2214871941626-0-cib.jpg,,
102,线下门店,交悦,个人护理,女性用品,男用,YSL2,交悦延时喷剂2代,97ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN0182nTtu1Nsl0tsh7Bp_!!2214871941626-0-cib.jpg,,
103,线下门店,交悦,个人护理,女性用品,男用,YSG,交悦外用延时膏10g,98ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01qSzKd9219wqjdL4F1_!!2208929496943-0-cib.jpg,,
104,线下门店,交悦,个人护理,女性用品,男用,ZDG50,交悦男用按摩膏50g,99ml,6.97528E+12,,,17,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01kJIWfd1NsktAbHqre_!!2214871941626-0-cib.jpg,,
105,线下门店,交悦,个人护理,女性用品,男用,ZD10,交悦-男士私处滋养按摩油10ml,100ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ncqGzF1Nskrfdtgi3_!!2214871941626-0-cib.jpg,,
106,线下门店,交悦,个人护理,女性用品,男用,HWZD10,交悦海外版增大膏10毫升,101ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01qSzKd9219wqjdL4F1_!!2208929496943-0-cib.jpg,,
107,线下门店,交悦,个人护理,女性用品,男用,Q11,交悦 男士私处滋养护理油15ML,102ml,6.97528E+12,,,40,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01CRXzp41NskrdKlFZT_!!2214871941626-0-cib.jpg,,
108,线下门店,交悦,个人护理,女性用品,男用,YS-L,(新)延时喷剂【绿色】,103ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01X5uxuw1NskqhrYdET_!!2214871941626-0-cib.jpg,,
109,线下门店,交悦,个人护理,女性用品,润滑,LH100,软管款润滑液100毫升-绿色带盒,104ml,6.97284E+12,,,2.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01jHU5Gp1NskrdOwOjd_!!2214871941626-0-cib.jpg,,
110,线下门店,交悦,个人护理,女性用品,润滑,FH100,软管款润滑液100毫升-粉色带盒,105ml,6.97284E+12,,,2.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01dUtiRm1NskrdGDcrY_!!2214871941626-0-cib.jpg,,
111,线下门店,交悦,个人护理,女性用品,润滑,LMRHY,莫吉托朗姆味-润滑液200ml,106ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01IL3FIW1NskxhZvXlt_!!2214871941626-0-cib.jpg,,
112,线下门店,交悦,个人护理,女性用品,润滑,YRY,交悦诱香私护润滑液-280ml,107ml,6.97284E+12,,,8,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01NQiIA31Nskrixh0C4_!!2214871941626-0-cib.jpg,,
113,线下门店,交悦,个人护理,女性用品,润滑,RJRHY,交悦弱碱性润滑液,108ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01J2zyND1Nsksarwa4p_!!2214871941626-0-cib.jpg,,
114,线下门店,交悦,个人护理,女性用品,润滑,RSRHY,交悦人体弱酸性润滑液,109ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01oHVrgE219wrXV65zz_!!2208929496943-0-cib.jpg,,
115,线下门店,交悦,个人护理,女性用品,润滑,JRY,交悦-积雪草私护滋养润滑液2.5ml*10支,110ml,6.97528E+12,,,15,瓶,https://cbu01.alicdn.com/img/ibank/O1CN017u7OXq1NskqVZ8FJn_!!2214871941626-0-cib.jpg,,
116,线下门店,交悦,个人护理,女性用品,润滑,HTRG,交悦后庭润滑液热感150g,111ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN010TVOqi219wrkKauLf_!!2208929496943-0-cib.jpg,,
117,线下门店,交悦,个人护理,女性用品,润滑,HTHT,交悦后庭润滑液缓痛感150g,112ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01oXNAWo219wrkKY9mv_!!2208929496943-0-cib.jpg,,
118,线下门店,交悦,个人护理,女性用品,润滑,HTBG,交悦后庭润滑液冰感150g,113ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01lUzyb2219wrkKZZAb_!!2208929496943-0-cib.jpg,,
119,线下门店,交悦,个人护理,女性用品,润滑,ARY,交悦艾草去味润滑液-280ml,114ml,6.97528E+12,,,8,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01L1KNQl1Nskrc0IUXY_!!2214871941626-0-cib.jpg,,
120,线下门店,交悦,个人护理,女性用品,润滑,GRY,罐装玻尿酸润滑液25个装,115ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN019lmh4L1Nskrh9QRAl_!!2214871941626-0-cib.jpg,,
121,线下门店,交悦,个人护理,女性用品,润滑,CMRHY,草莓味-润滑液200ml,116ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01xv1fqN1NskxoFO3GV_!!2214871941626-0-cib.jpg,,
122,线下门店,交悦,个人护理,女性用品,润滑,95H,95快感液-红,117ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01oFhGHa1NskrMRQaL8_!!2214871941626-0-cib.jpg,,
123,线下门店,交悦,个人护理,女性用品,润滑,95F,95快感液-粉,118ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN013D8xjL1NskrQZYpyR_!!2214871941626-0-cib.jpg,,
124,线下门店,交悦,个人护理,女性用品,私密,KSSJ,交悦清洁抑菌湿巾（快射湿巾）,119ml,6.97528E+12,,,4,瓶,https://cbu01.alicdn.com/img/ibank/O1CN013AYwTa1Nskrx6AQP8_!!2214871941626-0-cib.jpg,,
125,线下门店,交悦,个人护理,女性用品,私密,RYNJ6,交悦女性私密肉芽凝胶6支装,120ml,6.97528E+12,,,22,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Sp677P1NsktOjgUbK_!!2214871941626-0-cib.jpg,,
126,线下门店,交悦,个人护理,女性用品,私密,CBNJ5,交悦草本紧润护理凝胶3ML*5支,121ml,6.97528E+12,,,9.5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01knQ5ha1NskwHtaiBE_!!2214871941626-0-cib.jpg,,
127,线下门店,交悦,个人护理,女性用品,玩具,XNB,仙女棒,122ml,6.97284E+12,,,45,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01Te8pel219wjr4h7TW_!!2208929496943-0-cib.jpg,,
128,线下门店,交悦,个人护理,女性用品,玩具,TDY,交悦跳蛋-遥控板,123ml,6.97284E+12,,,45,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01tPSUZh1NskrbWPu8d_!!2214871941626-0-cib.jpg,,
129,线下门店,交悦,个人护理,女性用品,玩具,ST,交悦-手指套,124ml,6.97284E+12,,,5,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01wHRYsb219wqm4N2kz_!!2208929496943-0-cib.jpg,,
130,线下门店,交悦,个人护理,女性用品,高潮,BYPC3,冰火之恋一喷潮3ml,125ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01g2teub219whMRUVZZ_!!2208929496943-0-cib.jpg,,
131,线下门店,交悦,个人护理,女性用品,高潮,BGC15-1,冰火之恋快感护理液15ml（新款）,126ml,6.97528E+12,,,12,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01REeHB2219whS7F8lH_!!2208929496943-0-cib.jpg,,
132,线下门店,交悦,个人护理,女性用品,高潮,BYPC,冰火之恋-10ML一喷潮,127ml,6.97284E+12,,,25,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01EY9rwF219whTubv2k_!!2208929496943-0-cib.jpg,,
133,线下门店,交悦,个人护理,女性用品,口爱,BKJ10-X,冰火之恋口娇水-西柚味,128ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01jk7F4x219wkanMWxO_!!2208929496943-0-cib.jpg,,
134,线下门店,交悦,个人护理,女性用品,口爱,BKJ10,冰火之恋口娇水10支装,129ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01qyy2a4219whQNlAnm_!!2208929496943-0-cib.jpg,,
135,线下门店,交悦,个人护理,女性用品,口爱,BSR,冰火之恋冰爽乳,130ml,6.97528E+12,,,28,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01XN9n3I219whNz1eSQ_!!2208929496943-0-cib.jpg,,
136,线下门店,交悦,个人护理,女性用品,男用,BYS8,冰火之恋延时喷剂8ml,131ml,6.97528E+12,,,18,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01XkxAYQ219wqhbShK4_!!2208929496943-0-cib.jpg,,
137,线下门店,交悦,个人护理,女性用品,男用,BYS6,冰火之恋-外用延时喷剂4代,132ml,6.97528E+12,,,12,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01uc0d8e219wqhYuvUL_!!2208929496943-0-cib.jpg,,
138,线下门店,交悦,个人护理,女性用品,男用,BAMG50,冰火之恋按摩膏50g,133ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01GImTjG219wkvk0b0K_!!2208929496943-0-cib.jpg,,
139,线下门店,交悦,个人护理,女性用品,润滑,BHRHY,冰火之恋积雪草润滑液,134ml,6.97528E+12,,,20,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01qPi6Vk219whID4DHC_!!2208929496943-0-cib.jpg,,
140,线下门店,交悦,个人护理,女性用品,润滑,BBRY,冰火之恋玻尿酸冰火润滑液,135ml,6.97528E+12,,,14,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01pgCZ7W219whR5cK2o_!!2208929496943-0-cib.jpg,,
141,线下门店,交悦,个人护理,女性用品,私密,BFNR20,冰火之恋私蜜粉嫩乳20g,136ml,6.97528E+12,,,19,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01DqwjRw219wqmB5j7E_!!2208929496943-0-cib.jpg,,
142,线下门店,交悦,个人护理,女性用品,玩具,YJPG,PAPAYEAH悦姐自润滑屁股,137ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01dOGYnA1NskrlAva2G_!!2214871941626-0-cib.jpg,,
143,线下门店,交悦,个人护理,女性用品,玩具,JSF,PAPAYEAH悦姐计时飞机杯,138ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01adp7mF219wlmdrOmu_!!2208929496943-0-cib.jpg,,
144,线下门店,交悦,个人护理,女性用品,玩具,DJS,PAPAYEAH遥控独角兽穿戴器,139ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01DZ9Ehl1NsksFq2HrU_!!2214871941626-0-cib.jpg,,
145,线下门店,交悦,个人护理,女性用品,玩具,XTB,PAPAYEAH小兔糯糯棒,140ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01YpoMcd1NsksDcF84x_!!2214871941626-0-cib.jpg,,
146,线下门店,交悦,个人护理,女性用品,玩具,LCHD-H,PAPAYEAH浪潮互动飞机杯（白色）,141ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01sIaoeW219wlowW6Y3_!!2208929496943-0-cib.jpg,,
147,线下门店,交悦,个人护理,女性用品,玩具,HFZJ,PAPAYEAH红粉知己,142ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01mTrRvE219wvRuoKHC_!!2208929496943-0-cib.jpg,,
148,线下门店,交悦,个人护理,女性用品,玩具,DCB-H,PAPAYEAH点潮笔-玫红,143ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN0133g1fj1NsksFxdkms_!!2214871941626-0-cib.jpg,,
149,线下门店,交悦,个人护理,女性用品,玩具,DCB-F,PAPAYEAH点潮笔-粉色,144ml,0,,,0,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ALH5T31NsksAsy4k6_!!2214871941626-0-cib.jpg,,
150,线下门店,交悦,个人护理,女性用品,处子秀,JYJRW,JIAOYUE 紧润丸10粒装（海外版）,145ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01OYzS9q219wvQB3LqH_!!2208929496943-0-cib.jpg,,
151,线下门店,交悦,个人护理,女性用品,处子秀,JYCZ4,JIAOYUE 处子秀四支装（海外版）,146ml,6.97528E+12,,,22,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01O8SN34219wvOWjStz_!!2208929496943-0-cib.jpg,,
152,线下门店,交悦,个人护理,女性用品,高潮,JYZC,JIAOYUE 张潮水15毫升(海外版),147ml,6.97528E+12,,,33,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01zCBot7219wvOWn1GU_!!2208929496943-0-cib.jpg,,
153,线下门店,交悦,个人护理,女性用品,高潮,JYZQY,JIAOYUE 快感增强液30ml（海外版）,148ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01CSlTUh219wqjcW00E_!!2208929496943-0-cib.jpg,,
154,线下门店,交悦,个人护理,女性用品,口爱,JYKGC,JIAOYEU 罐装草莓口交水英文版,149ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01i5XNbb219wqSgnHqA_!!2208929496943-0-cib.jpg,,
155,线下门店,交悦,个人护理,女性用品,口爱,JYKGB,JIAOYEU 罐装百香果口交水英文版,150ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN0190iyOQ219wqUbO3SM_!!2208929496943-0-cib.jpg,,
156,线下门店,交悦,个人护理,女性用品,男用,JYYS-L,JIAOYUE 延时喷剂5毫升(海外版),151ml,6.97528E+12,,,12,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01qSzKd9219wqjdL4F1_!!2208929496943-0-cib.jpg,,
157,线下门店,交悦,个人护理,女性用品,润滑,JYRHY,JIAOYUE 洋甘菊润滑液10支装（海外版）,152ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01cgQKhy1NskyCeVVPQ_!!2214871941626-0-cib.jpg,,
158,线下门店,交悦,个人护理,女性用品,润滑,JYLW,JIAOYUE 西瓜润滑液英文版,153ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01rkmcwE1Nskxf0ABp0_!!2214871941626-0-cib.jpg,,
159,线下门店,交悦,个人护理,女性用品,润滑,JYLC,JIAOYUE 草莓润滑液英文版,154ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01DEqqV71NskxTgV3ow_!!2214871941626-0-cib.jpg,,
160,线下门店,交悦,个人护理,女性用品,处子秀,BGCZ3,BEDGAME-3支装处子秀,155ml,6.97284E+12,,,18,瓶,https://cbu01.alicdn.com/img/ibank/O1CN016njluh1NsksqKErB8_!!2214871941626-0-cib.jpg,,
161,线下门店,交悦,个人护理,女性用品,处子秀,BGJRW,BED GAME-紧润丹,156ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01QkvN5R1NskxgyUgoQ_!!2214871941626-0-cib.jpg,,
162,线下门店,交悦,个人护理,女性用品,处子秀,BGCZ5,BED GAME处子秀5支装,157ml,6.97528E+12,,,25,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01zmphel1NskslPebLw_!!2214871941626-0-cib.jpg,,
163,线下门店,交悦,个人护理,女性用品,高潮,BGZCW,BED GAME-涨潮丸,158ml,6.97528E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01TnTHlQ1NskxhwaJil_!!2214871941626-0-cib.jpg,,
164,线下门店,交悦,个人护理,女性用品,高潮,BGZC5,BED GAME涨潮水5支装,159ml,6.97528E+12,,,28,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01AQhedw1NskspHEhuO_!!2214871941626-0-cib.jpg,,
165,线下门店,交悦,个人护理,女性用品,高潮,BGYDY,BED GAME 悦蒂油,160ml,6.97528E+12,,,33,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01BmCxJn1Nskxg8OVx2_!!2214871941626-0-cib.jpg,,
166,线下门店,交悦,个人护理,女性用品,口爱,BGKGC,BEDGAME-罐装口交水草莓味10只装,161ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN017VI6V11NsksrzJJs2_!!2214871941626-0-cib.jpg,,
167,线下门店,交悦,个人护理,女性用品,口爱,BGKGB,BEDGAME-罐装口交水百香果味10只装,162ml,6.97528E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01hU1Ub81NskstMLent_!!2214871941626-0-cib.jpg,,
168,线下门店,交悦,个人护理,女性用品,口爱,BGKRL,BED GAME-日文版朗姆味口娇水,163ml,4.58268E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01FK3A3Q1NskxBr7FUS_!!2214871941626-0-cib.jpg,,
169,线下门店,交悦,个人护理,女性用品,口爱,BGKRC,BED GAME-日文版草莓味口娇水,164ml,4.58268E+12,,,6,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01bodNTI1NskxBr3ctn_!!2214871941626-0-cib.jpg,,
170,线下门店,交悦,个人护理,女性用品,男用,BGYSD-3,BEDGAME-3ml延时喷剂超声刀版,165ml,6.97284E+12,,,10,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01f6HMMd219wvP9K3N9_!!2208929496943-0-cib.jpg,,
171,线下门店,交悦,个人护理,女性用品,男用,BGYS5,BED GAME延时喷剂猛男款5ml,166ml,6.97258E+12,,,12,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01ouIzIw219wvRK3oQ2_!!2208929496943-0-cib.jpg,,
172,线下门店,交悦,个人护理,女性用品,男用,BGZD,BED GAME男用按摩膏50g,167ml,6.97528E+12,,,17,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01VkWjP9219wvSfzt7c_!!2208929496943-0-cib.jpg,,
173,线下门店,交悦,个人护理,女性用品,润滑,LP,润滑液原味-海外款,168ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01GHYzKl1NsksvT7QBg_!!2214871941626-0-cib.jpg,,
174,线下门店,交悦,个人护理,女性用品,润滑,LC,润滑液草莓-海外款,169ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01W92GGK1NsksmTMSD8_!!2214871941626-0-cib.jpg,,
175,线下门店,交悦,个人护理,女性用品,润滑,LM,Lubricant莫吉托鸡尾酒润滑液,170ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01sPFFLj1NsksqAlh7n_!!2214871941626-0-cib.jpg,,
176,线下门店,交悦,个人护理,女性用品,润滑,BGJXC,BED GAME积雪草润滑液10支装,171ml,6.97528E+12,,,16,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01rc8lN41NskslGtDLD_!!2214871941626-0-cib.jpg,,
177,线下门店,交悦,个人护理,女性用品,润滑,LS,BED GAME海外版圣女椰润滑液,172ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01mPDDRo1NskuQC5mwq_!!2214871941626-0-cib.jpg,,
178,线下门店,交悦,个人护理,女性用品,润滑,LB,BED GAME海外版薄荷润滑液100nl,173ml,6.97528E+12,,,3,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01S9pu5q1Nskub0DiOX_!!2214871941626-0-cib.jpg,,
179,线下门店,交悦,个人护理,女性用品,润滑,LX,BED GAME 海外香蕉味润滑液,174ml,6.97528E+12,,,7,瓶,https://cbu01.alicdn.com/img/ibank/O1CN01MSVbYH219wzLNJvFK_!!2208929496943-0-cib.jpg,,

